,out_up
0,0.0
1,128355950.85714285
2,134956550.85714287
3,154850965.7142857
4,170757284.57142857
5,0.0
6,0.0
7,155247369.14285713
8,0.0
9,176034488.0
10,0.0
11,168277177.14285713
12,171029449.14285713
13,0.0
14,0.0
15,0.0
16,86370552.0
17,153595782.85714287
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,41979741.71428572
26,0.0
27,38673853.71428572
28,45598595.428571425
29,0.0
30,0.0
31,0.0
32,43131851.428571425
33,0.0
34,0.0
35,32451885.714285713
36,0.0
37,0.0
38,68747872.0
39,148289549.7142857
40,148625646.85714287
41,157397320.0
42,0.0
43,0.0
44,161625246.85714287
45,0.0
46,165090307.42857143
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,47366094.4
53,103563482.28571428
54,159711154.2857143
55,0.0
56,176765221.7142857
57,0.0
58,0.0
59,0.0
60,183048388.57142857
61,202295990.85714287
62,0.0
63,0.0
64,0.0
65,0.0
66,92214027.42857143
67,93305803.42857143
68,130865880.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,91226978.28571428
75,119764515.42857143
76,0.0
77,0.0
78,0.0
79,77647125.71428572
80,81551370.28571428
81,94313106.28571428
82,0.0
83,0.0
84,105749512.0
85,0.0
86,0.0
87,95861165.71428572
88,0.0
89,104759376.0
90,130596963.42857143
91,255150518.85714287
92,269311938.28571427
93,0.0
94,259530627.42857143
95,0.0
96,286004466.28571427
97,0.0
98,0.0
99,279185313.14285713
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,137788878.85714287
106,172017555.42857143
107,174992683.42857143
108,178889166.85714287
109,186574344.0
110,188299785.14285713
111,197366314.2857143
112,0.0
113,192866005.7142857
114,232116746.2857143
115,232803521.14285713
116,0.0
117,0.0
118,0.0
119,163240758.85714287
120,233350678.85714287
121,291193780.5714286
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,333810529.14285713
130,644958117.7142857
131,0.0
132,0.0
133,0.0
134,184055787.42857143
135,0.0
136,0.0
137,0.0
138,0.0
139,142755425.14285713
140,151095413.7142857
141,186797331.42857143
142,202598385.14285713
143,349980579.4285714
144,362737525.71428573
145,0.0
146,363374584.0
147,382228637.71428573
148,0.0
149,0.0
150,389639069.71428573
151,0.0
152,0.0
153,391236886.85714287
154,0.0
155,0.0
156,199571492.8
157,0.0
158,1088633909.3333333
159,0.0
160,0.0
161,381686702.85714287
162,0.0
163,0.0
164,0.0
165,0.0
166,388351797.71428573
167,393799710.85714287
168,0.0
169,0.0
170,370631413.71428573
171,0.0
172,0.0
173,0.0
174,271845409.14285713
175,325114020.5714286
176,337103265.14285713
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,155341933.7142857
184,0.0
185,158881156.57142857
186,172668474.2857143
187,0.0
188,0.0
189,132541033.14285715
190,135386114.2857143
191,149626745.14285713
192,0.0
193,138098425.14285713
194,142934782.85714287
195,180775715.42857143
196,410394434.28571427
197,420224009.14285713
198,0.0
199,0.0
200,0.0
201,409176268.5714286
202,0.0
203,414887120.0
204,433537330.28571427
205,446487878.85714287
206,0.0
207,0.0
208,0.0
209,0.0
210,215407228.0
211,339083324.3636364
212,371150746.28571427
213,441840086.85714287
214,0.0
215,0.0
216,382054796.5714286
217,382819300.5714286
218,405500234.28571427
219,410601789.3333333
220,602970522.2857143
221,0.0
222,0.0
223,0.0
224,249569814.4
225,382656144.0
226,388748365.71428573
227,594017222.8571428
228,0.0
229,343244602.28571427
230,0.0
231,0.0
232,250482432.72727272
233,0.0
234,0.0
235,0.0
236,154762472.0
237,253507835.42857143
238,0.0
239,164135382.85714287
240,0.0
241,256955251.42857143
242,0.0
243,0.0
244,138466454.0
245,201812880.0
246,246541617.14285713
247,380436274.28571427
248,410352232.0
249,0.0
250,337720419.4285714
251,426299637.71428573
252,0.0
253,553257172.0
254,0.0
255,433892720.0
256,0.0
257,506825970.0
258,0.0
259,332152117.71428573
260,0.0
261,0.0
262,286056835.4444444
263,298773418.28571427
264,337267915.4285714
265,453846377.14285713
266,0.0
267,0.0
268,436708409.14285713
269,451536038.85714287
270,0.0
271,0.0
272,487683605.71428573
273,0.0
274,0.0
275,298059153.14285713
276,336165238.85714287
277,428915192.0
278,431893168.0
279,526345022.85714287
280,0.0
281,376076704.0
282,0.0
283,0.0
284,0.0
285,312148646.0
286,0.0
287,0.0
288,322490795.4285714
289,0.0
290,0.0
291,0.0
292,309021205.71428573
293,0.0
294,0.0
295,0.0
296,222529792.0
297,291018286.85714287
298,0.0
299,0.0
300,448397029.71428573
301,0.0
302,350448919.28571427
303,479555916.5714286
304,0.0
305,506959189.71428573
306,0.0
307,462506911.0
308,0.0
309,0.0
310,0.0
311,385922833.0
312,583355057.1428572
313,0.0
314,0.0
315,354513881.2
316,0.0
317,201340378.0
318,0.0
319,0.0
320,159868414.0
321,329630858.0
322,0.0
323,285855809.0
324,0.0
325,0.0
326,0.0
